# SUPPRESSION-SCOPE: direction-aware
#   Opted in 2026-08-02 as part of the portfolio sweep Rob authorised after it was MEASURED rather
#   than assumed. The one-at-a-time ruling (2026-07-30) existed because narrowing suppression can
#   un-silence a real finding and turn a provider red unpredictably; all 8 remaining eligible
#   providers were tested with this marker on and every one stayed ENFORCED 0 FAIL / 0 WARN, so the
#   risk the ruling guarded against was zero here. Under direction-aware a row only silences a check
#   whose CLASS matches its rule (tools/_divergence_rules.ps1); 'other' rows silence nothing.
# CA_CLETS ACCEPTED METADATA DIVERGENCES
# Read by tools/audit_metadata.ps1 (CHECK 4 / 4d). Each non-comment line records a
# set/any divergence that is intentional and correct, so the gate treats it as [NOTE] not [FAIL].
# Format (pipe-delimited): query | keyRef | field | rule | reason | source | date
#

# RETIRED 2026-08-17 (v2.26): DriverHistoryQuery | NLTS.KQ.N + NLTS.KQ.O | purposeCodeDH | promoted-to-set
# The two rows read:
#   "purposeCodeDH in set[] ensures KQ query always includes purpose code; any[]/defaulted would
#    silently omit it if CAD doesn't send it; combo default purposeCodeDH='C' handles CAD auto-populate"
# THERE IS NO LONGER A DIVERGENCE TO ACCEPT, because the premise was an artefact of our own wiring.
# DriverHistoryQuery emits TWO purpose-code elements and until v2.26 BOTH were fed by the single
# purposeCodeDH control:
#     purposeCodeDH -> <CaRequestPurposeCode>   metadata <Set>   MANDATORY
#     purposeCodeDH -> <PurposeCode>            metadata <Any>   OPTIONAL
# So one field was simultaneously in the right place for one element and the wrong place for the
# other, and the registry row papered over the half that was wrong. v2.26 gave <PurposeCode> its own
# control (purposeCodeNletsDH, in any[] with a 'C' default). Now each sits exactly where its own
# metadata puts it: purposeCodeDH in set[] MATCHES <Set>, so it is no longer a divergence at all.
# The original concern -- "any[]/defaulted would silently omit it if CAD doesn't send it" -- is still
# handled, by the combo defaults[] twin on both KQ combos, so the wire is unchanged.
# Verified after retiring these rows: audit_requirement_fidelity still 27 branches compared /
# 0 UNDER-REQUIRED / 0 OVER-PERMITTED -- the denominator did NOT fall, so nothing went dark.

# REMOVED 2026-07-21 (v2.15): DriverLicenseQuery | IR.QVC.N | APPSRequestIndicator | extra-field-in-json
# This divergence's own reasoning was backwards -- "devdoc is sole authority for supported fields"
# inverts the actual rule (metadata is field-authority, devdoc is query-authority; see CLAUDE.md
# Source Authority Lookup Table). Live USx Tenant Testing at v2.14 caught it: audit_log_metadata.ps1
# FAILed 9/9 IR.QVC.N logs ("wire field(s) not defined in metadata"). The field was removed entirely
# in v2.15 (attribute, combo any[]/defaults, form field/row). DEX-976 comment 783180.

# keyRef-level not-built declarations (tools/_metadata_keyref_match.ps1, added 2026-07-06):
# these 14 VehicleRegistrationQuery + 1 BoatQuery devdoc sub-variant keyRefs were previously
# mis-reported [PASS] "covered by invented variants" via coincidental field overlap with
# NLTS.RQ.P/NLTS.RQ.V (Vehicle) or the NLTS.BQ.*/IA.QB.* family (Boat) -- both families are
# intentionally not built as separate combos; CA's Vehicle/Boat queries route via the
# combos already covering these fields. Corrected to report honestly as not-built-by-design.
VehicleRegistrationQuery | IV.4I | * | not-built | Extra devdoc plate-type sub-variant, not built as a separate combo -- coincidental field overlap with NLTS.RQ.P/NLTS.RQ.V | build-notes | 2026-07-06
VehicleRegistrationQuery | IA.QV | LicensePlateTypeCode | promoted-to-any | LicensePlateTypeCode rides in IA.QV's any[] though metadata's IA.QV PLATE alternatives allow only any[RelatedHitSearchIndicator, State] (VehicleMakeCode appears solely on the VIN alternative; PlateTypeCode/PlateYear/VehicleYear on none of the ~10 IA.QV alternatives). JUSTIFIED BY THE DEVDOC, which is query-authority and DOES list them: line 352 combination 2 '(In) LicensePlateNumber, LicensePlateTypeCode'; line 601 combination 3 '(Out) State, VehicleIdentificationNumber, [VehicleMakeCode, VehicleYear]'; line 601 combination 4 '(Out) RvrIndicator=Y, LicensePlateNumber, State, [LicensePlateTypeCode, ...]'. Rob's standing rule: NEVER drop a devdoc-OPTIONAL combination field -- ride it in the any[] rather than orphan a visible form control and silently remove officer capability. CONTRAST FL_FCIC v7.14, where the identical-looking FRQ VehicleMakeCode/vehicleYear over-sends WERE REMOVED: the FL devdoc listed neither, so there was no optional to preserve. Checking the devdoc is the deciding test and it points opposite ways on these two providers -- do not generalise one to the other. Registering costs no version bump, so CA_CLETS's 90 ALL-PASS logs are preserved. | metadata-vs-devdoc | 2026-07-31
# RETIRED 2026-08-24 at v2.27 -- THE PREMISE WAS FIXED AWAY, and audit_registry_currency said so in
#   its own words: "claims LicensePlateYear rides in any[], but it is in NEITHER set[] nor any[] nor
#   the attribute map. Premise fixed away; retire the row."
#   v2.27 removed LicensePlateYear from IA.QV's any[] and from its defaults[].
#
#   WHY THE ROW WAS WRONG FOR THIS FIELD -- and it was RIGHT for the other three it sat with, which
#   is exactly how it survived. The 2026-07-31 justification covered FOUR fields with ONE reason:
#     LicensePlateTypeCode -> devdoc #2 "(In) LicensePlateNumber, LicensePlateTypeCode"     JUSTIFIED
#     VehicleMakeCode      -> devdoc "(Out) State, VIN, [VehicleMakeCode, VehicleYear]"      JUSTIFIED
#     vehicleYear          -> same VIN combination. NOTE: that is VehicleYear, the MODEL year JUSTIFIED
#     LicensePlateYear     -> NOT listed on any (In) or (In/Out) devdoc combination          NOT
#   Measured 2026-08-24: ZERO CA_CLETS devdoc (In)/(In/Out) combinations mention LicensePlateYear. It
#   appears on exactly two entries, both "(Out) #7" -- which is NLTS.RQ.P's shape (plate + type +
#   year + State), already built. LicensePlateYear rode along by ASSOCIATION with three fields the
#   devdoc does list, and VehicleYear-vs-LicensePlateYear being two different fields is what made
#   that invisible. Same lumping error as the TN_TIES RQ01 note written the same day.
#
#   AND THE HARM WAS NOT THE OVER-PERMIT, IT WAS THE PREFILL. The row treated this as "we CAN send a
#   field this branch does not define", which is survivable. But the control carries
#   initialValue=$currentYear (it must -- NLTS.RQ.P has LicensePlateYear in set[] for the
#   out-of-state path), so it was ALWAYS in form state and therefore transmitted on EVERY in-state
#   plate search: an unconditional assertion that the plate's registration year is the current one,
#   which can only narrow a match. ACCEPTING a field is not WANTING it.
#
#   LicensePlateTypeCode DELIBERATELY KEPT in IA.QV's any[] and defaults[]: devdoc #2 makes it
#   MANDATORY on the in-state plate search, so prefilling it is required, not merely tolerated. That
#   asymmetry is the whole lesson -- TN_TIES v2.6 removed the plate TYPE from its in-state search
#   because TN's devdoc #1 lists none, and CA_CLETS v2.27 removes the plate YEAR and keeps the type.
#   Read each provider's own devdoc. Do not generalise between them -- which is what the ORIGINAL
#   row itself warned, and it was right.
# VehicleRegistrationQuery | IA.QV | LicensePlateYear | promoted-to-any | LicensePlateYear rides in IA.QV's any[] though metadata's IA.QV PLATE alternatives allow only any[RelatedHitSearchIndicator, State] (VehicleMakeCode appears solely on the VIN alternative; PlateTypeCode/PlateYear/VehicleYear on none of the ~10 IA.QV alternatives). JUSTIFIED BY THE DEVDOC, which is query-authority and DOES list them: line 352 combination 2 '(In) LicensePlateNumber, LicensePlateTypeCode'; line 601 combination 3 '(Out) State, VehicleIdentificationNumber, [VehicleMakeCode, VehicleYear]'; line 601 combination 4 '(Out) RvrIndicator=Y, LicensePlateNumber, State, [LicensePlateTypeCode, ...]'. Rob's standing rule: NEVER drop a devdoc-OPTIONAL combination field -- ride it in the any[] rather than orphan a visible form control and silently remove officer capability. CONTRAST FL_FCIC v7.14, where the identical-looking FRQ VehicleMakeCode/vehicleYear over-sends WERE REMOVED: the FL devdoc listed neither, so there was no optional to preserve. Checking the devdoc is the deciding test and it points opposite ways on these two providers -- do not generalise one to the other. Registering costs no version bump, so CA_CLETS's 90 ALL-PASS logs are preserved. | metadata-vs-devdoc | 2026-07-31
VehicleRegistrationQuery | IA.QV | VehicleMakeCode | promoted-to-any | VehicleMakeCode rides in IA.QV's any[] though metadata's IA.QV PLATE alternatives allow only any[RelatedHitSearchIndicator, State] (VehicleMakeCode appears solely on the VIN alternative; PlateTypeCode/PlateYear/VehicleYear on none of the ~10 IA.QV alternatives). JUSTIFIED BY THE DEVDOC, which is query-authority and DOES list them: line 352 combination 2 '(In) LicensePlateNumber, LicensePlateTypeCode'; line 601 combination 3 '(Out) State, VehicleIdentificationNumber, [VehicleMakeCode, VehicleYear]'; line 601 combination 4 '(Out) RvrIndicator=Y, LicensePlateNumber, State, [LicensePlateTypeCode, ...]'. Rob's standing rule: NEVER drop a devdoc-OPTIONAL combination field -- ride it in the any[] rather than orphan a visible form control and silently remove officer capability. CONTRAST FL_FCIC v7.14, where the identical-looking FRQ VehicleMakeCode/vehicleYear over-sends WERE REMOVED: the FL devdoc listed neither, so there was no optional to preserve. Checking the devdoc is the deciding test and it points opposite ways on these two providers -- do not generalise one to the other. Registering costs no version bump, so CA_CLETS's 90 ALL-PASS logs are preserved. | metadata-vs-devdoc | 2026-07-31
VehicleRegistrationQuery | IA.QV | vehicleYear | promoted-to-any | vehicleYear rides in IA.QV's any[] though metadata's IA.QV PLATE alternatives allow only any[RelatedHitSearchIndicator, State] (VehicleMakeCode appears solely on the VIN alternative; PlateTypeCode/PlateYear/VehicleYear on none of the ~10 IA.QV alternatives). JUSTIFIED BY THE DEVDOC, which is query-authority and DOES list them: line 352 combination 2 '(In) LicensePlateNumber, LicensePlateTypeCode'; line 601 combination 3 '(Out) State, VehicleIdentificationNumber, [VehicleMakeCode, VehicleYear]'; line 601 combination 4 '(Out) RvrIndicator=Y, LicensePlateNumber, State, [LicensePlateTypeCode, ...]'. Rob's standing rule: NEVER drop a devdoc-OPTIONAL combination field -- ride it in the any[] rather than orphan a visible form control and silently remove officer capability. CONTRAST FL_FCIC v7.14, where the identical-looking FRQ VehicleMakeCode/vehicleYear over-sends WERE REMOVED: the FL devdoc listed neither, so there was no optional to preserve. Checking the devdoc is the deciding test and it points opposite ways on these two providers -- do not generalise one to the other. Registering costs no version bump, so CA_CLETS's 90 ALL-PASS logs are preserved. | metadata-vs-devdoc | 2026-07-31
DriverLicenseQuery | IR.QVC.O | age | promoted-to-any | age rides in IR.QVC.O's any[] though metadata's IR.QVC OLN and SSN alternatives carry an empty any[] (Age appears only on the Name-based alternatives). CA_CLETS exposes ONE shared 'age' form control serving every DriverLicense combo, so it is carried in each combo's any[] rather than being made unreachable from all but one path -- the devdoc lists Age as a real query field (line 257 combination 3 '(In/Out) Age, Name, SexCode, [...]'), and dropping it from the identifier paths would orphan the control for officers arriving via OLN or SSN. This is a build convention, deliberately recorded rather than silently relied on. Registration costs no version bump, so CA_CLETS's 90 ALL-PASS logs are preserved. If Rob prefers strict per-path scoping instead, the fix is to remove age from the identifier combos' any[] and accept the re-sweep. | metadata-vs-devdoc | 2026-07-31
DriverLicenseQuery | IR.QVC.S | age | promoted-to-any | age rides in IR.QVC.S's any[] though metadata's IR.QVC OLN and SSN alternatives carry an empty any[] (Age appears only on the Name-based alternatives). CA_CLETS exposes ONE shared 'age' form control serving every DriverLicense combo, so it is carried in each combo's any[] rather than being made unreachable from all but one path -- the devdoc lists Age as a real query field (line 257 combination 3 '(In/Out) Age, Name, SexCode, [...]'), and dropping it from the identifier paths would orphan the control for officers arriving via OLN or SSN. This is a build convention, deliberately recorded rather than silently relied on. Registration costs no version bump, so CA_CLETS's 90 ALL-PASS logs are preserved. If Rob prefers strict per-path scoping instead, the fix is to remove age from the identifier combos' any[] and accept the re-sweep. | metadata-vs-devdoc | 2026-07-31
DriverLicenseQuery | IR.QVC.N | BirthDate | demoted-to-any | Metadata IR.QVC{Name} has FOUR variants and variant #1 is Set[CaRequestPurposeCode, Name, SexCode] Any[Choice[Age / BirthDate], RaceCode] -- the discriminator is LEGALLY OPTIONAL there. IR.QVC.N implements variant #1 exactly. The finding comes from pairing against variants #2/#3, which put Choice[Age / BirthDate] INSIDE Set. Promoting either into set[] would make the plain Name+Sex criminal-name search unreachable, and devdoc DriverLicenseQuery #3/#4 both keep SexCode mandatory with the qualifier varying. Contrast IG.QGH, split at v2.23, where NO variant permitted both-absent -- that one was a real defect. Verified against raw metadata 2026-07-31. | metadata-vs-devdoc | 2026-07-31
DriverLicenseQuery | IR.QVC.N | Age | demoted-to-any | Metadata IR.QVC{Name} has FOUR variants and variant #1 is Set[CaRequestPurposeCode, Name, SexCode] Any[Choice[Age / BirthDate], RaceCode] -- the discriminator is LEGALLY OPTIONAL there. IR.QVC.N implements variant #1 exactly. The finding comes from pairing against variants #2/#3, which put Choice[Age / BirthDate] INSIDE Set. Promoting either into set[] would make the plain Name+Sex criminal-name search unreachable, and devdoc DriverLicenseQuery #3/#4 both keep SexCode mandatory with the qualifier varying. Contrast IG.QGH, split at v2.23, where NO variant permitted both-absent -- that one was a real defect. Verified against raw metadata 2026-07-31. | metadata-vs-devdoc | 2026-07-31
DriverLicenseQuery | NLTS.DQ.N | SexCode | demoted-to-any | Metadata NLTS.DQ{Name} has SEVEN variants; variant 2 is Set[CaRequestPurposeCode, Name, State] Any[BirthDate, SexCode] -- both qualifiers LEGALLY OPTIONAL. NLTS.DQ.N implements variant 2 (SexCode added to any[] at v2.23 so it is now satisfiable in full). The finding pairs against the stricter variants that require BirthDate and/or SexCode in Set; promoting either would make the common OOS Name+State lookup unreachable. Verified against raw metadata 2026-07-31. | metadata-vs-devdoc | 2026-07-31
DriverLicenseQuery | NLTS.DQ.N | BirthDate | demoted-to-any | Metadata NLTS.DQ{Name} has SEVEN variants; variant 2 is Set[CaRequestPurposeCode, Name, State] Any[BirthDate, SexCode] -- both qualifiers LEGALLY OPTIONAL. NLTS.DQ.N implements variant 2 (SexCode added to any[] at v2.23 so it is now satisfiable in full). The finding pairs against the stricter variants that require BirthDate and/or SexCode in Set; promoting either would make the common OOS Name+State lookup unreachable. Verified against raw metadata 2026-07-31. | metadata-vs-devdoc | 2026-07-31
BoatQuery | NLTS.BQ.N | State | devdoc-optional-unreachable | DEVDOC-vs-METADATA CONFLICT, metadata wins (field authority). Devdoc BoatQuery #4 is "(Out) BirthDate, Name, [State]" -- State bracketed = optional. But metadata NLTS.BQ{Name} mandatory set is CaRequestPurposeCode + Name + BirthDate + State with NO optionals, so a Name+BirthDate fill WITHOUT State is not a legal NLTS.BQ request and there is no in-state boat-by-name transaction to fall back to. Building a State-less name combo would emit a request the metadata calls invalid. Recorded as unreachable rather than "fixed". Verified against raw metadata 2026-07-31. | metadata-vs-devdoc | 2026-07-31
DriverHistoryQuery | NLTS.KQ.N | SexCode | devdoc-optional-unreachable | DEVDOC-vs-METADATA CONFLICT, metadata wins (field authority). Devdoc DriverHistoryQuery #1 is "(In) Name, [BirthDate]" -- only Name mandatory. But the ONLY DH name transaction in metadata is NLTS.KQ{Name}, whose mandatory set is CaRequestPurposeCode + BirthDate + Name + SexCode (optional Attention, PurposeCode, State). So an in-state DH-by-name with Name alone, or Name+BirthDate, cannot be expressed -- SexCode is metadata-mandatory. Note devdoc #2 "(In) OperatorLicenseNumber" DOES work via NLTS.KQ.O (State optional there). Only the in-state NAME path is unimplementable. Verified against raw metadata 2026-07-31. | metadata-vs-devdoc | 2026-07-31
VehicleRegistrationQuery | (devdoc #1) | FileCode | devdoc-combo-unbuilt | Devdoc VehicleRegistrationQuery #1 "(In) LicensePlateNumber, FileCode, InfoCode" is NOT BUILT. FileCode and InfoCode DO exist in the CA metadata (3 and 6 nodes), so this is buildable -- it is deferred, not impossible. It is a DMV file/info-code lookup rather than an officer plate search: it needs two code values an officer would not have from a traffic stop, and no CAD field supplies them. Deferred pending a product call on whether the Vehicle form should carry two extra code inputs. NOT silently dropped -- this entry is the record. Verified 2026-07-31. | metadata-vs-devdoc | 2026-07-31
BoatQuery | devdoc #4 | BirthDate | devdoc-optional-unreachable | DEVDOC-vs-METADATA CONFLICT, metadata wins (field authority). Devdoc BoatQuery #4 "(Out) BirthDate, Name, [State]" treats State as optional, but metadata NLTS.BQ{Name} mandatory set is CaRequestPurposeCode + Name + BirthDate + State with NO optionals, and there is no in-state boat-by-name transaction to fall back to. A Name+BirthDate fill without State therefore fires nothing BY DESIGN -- building a State-less name combo would emit a request the metadata calls invalid. Verified against raw metadata 2026-07-31. | metadata-vs-devdoc | 2026-07-31
DriverHistoryQuery | devdoc #1 | Name | devdoc-optional-unreachable | DEVDOC-vs-METADATA CONFLICT, metadata wins (field authority). Devdoc DriverHistoryQuery #1 "(In) Name, [BirthDate]" makes only Name mandatory, but the ONLY DH-by-name transaction in metadata is NLTS.KQ{Name}, whose mandatory set is CaRequestPurposeCode + BirthDate + Name + SexCode. So in-state DH by Name (with or without BirthDate) cannot be expressed -- SexCode is metadata-mandatory and unavailable to that devdoc item. Devdoc #2 "(In) OperatorLicenseNumber" DOES work via NLTS.KQ.O. Only the in-state NAME path is unimplementable. Verified against raw metadata 2026-07-31. | metadata-vs-devdoc | 2026-07-31
